id,index,energy,tempo,roughness,pleasantness,arousal,sensationTags,emotionTags,metaphors,usageExamples,sensationD1 (Complexity),sensationD2 (Continuity),sensationD3 (Roughness),sensationD4 (Duration),emotionD1 (Agitation),emotionD2 (Liveliness),emotionD3 (Strangeness),"metaphorD1 (onoff, nuanced/ongoing, repetitive)",metaphorD2 (natural vs mechanical),UsageD1 (awareness/attentiondemand)
v-09-10-6-27,29,2.923076923,3,2.538461538,-1,2.923076923,"rough,regular,discontinuous,spiky,firm","agitating,urgent,angry,fear,uncomfortable,annoying,mechanical","tapping,beep,alarm,musical instruments,drums","speed up,alarm,above intended threshold,below intended threshold,finish,running out of time,overtime,warning",-0.12107,-0.35965,0.12908,0.16952,0.50509,-0.11599,-0.013441,-0.38544,0.20751,0.42073
v-09-10-6-38,30,1.909090909,0.909090909,0.090909091,0.636363636,0.909090909,"ramping up,continuous,simple,smooth transition","mechanical,urgent","getting close,engine","speed up,alarm,warmup",-0.2106,0.54619,0.19165,0.040395,0.41336,-0.14813,-0.14435,0.4006,-0.15422,0.26357
v-09-10-6-43,31,-2.615384615,0.461538462,-2.461538462,0.923076923,-2.230769231,"smooth,bumpy,soft,discontinuous,dynamic,wavy","calm,comfortable,funny,natural,pleasant,lively,happy","pulsing,game,tapping,snoring,sliding","halfway,get ready,milestone,resume,interval/rep,warmup,cooldown,warning,reminder",0.066935,0.0089372,-0.35531,-0.25318,-0.44908,0.15612,-0.078201,-0.16547,-0.10165,-0.37732
v-09-10-6-46,32,-1.111111111,0,-0.777777778,1.111111111,-0.555555556,"discontinuous,complex,smooth,continuous,soft,dynamic","unique,interesting,comfortable,strange,surprising",,"battery low,encouragement,milestone,reminder,warning,get ready,resume,pause",0.13809,0.22986,-0.27281,-0.17092,-0.17221,0.32358,0.44839,0.20274,-0.29397,-0.43242
v-09-10-6-5,33,2,1.777777778,1,0.555555556,1.444444444,"discontinuous,simple,bumpy,spiky,firm","urgent,lively,interesting,calm,rhythmic","tapping,musical instruments,drums,hearbeat,clock","one minute left,interval/rep,get ready,warning,battery low,reminder",-0.1611,-0.22822,0.14799,-0.33592,-0.050515,0.25991,-0.18619,-0.39021,-0.19892,-0.34124
v-09-10-6-59,1,-1.5,1,0.666666667,-0.333333333,-1.333333333,"grainy,irregular,dynamic","boring,predictable,mechanical,fear","engine,buzz,animal,riding,shaking","battery low,warning,start,reminder,warmup,cooldown",0.47676,0.20058,0.088154,0.088863,0.11918,-0.47759,-0.13366,0.43616,-0.1441,-0.32004
v-09-10-7-34,34,-1.153846154,0.153846154,-0.230769231,1.076923077,-0.923076923,"discontinuous,regular,bumpy,simple","calm,energetic,interesting,lively,natural,predictable,familiar","tapping,poking,hearbeat","interval/rep,warmup,cooldown,reminder,warning,speed up,below intended threshold,milestone,encouragement,confirmation,incoming msg,resume,get ready",-0.29293,-0.22959,-0.051054,-0.10646,-0.32018,-0.021132,-0.10815,-0.40423,-0.30603,-0.23755
v-09-10-7-36,35,2.642857143,1.571428571,1,-0.928571429,2.071428571,"short,continuous,ramping up,simple,rough,regular,round","predictable,mechanical,urgent,agitating,familiar,lively","buzz,animal,coming or going,bell","one minute left,finish,running out of time,warning,alarm,interval/rep,encouragement,resume,milestone",-0.28943,0.25181,0.28178,0.17796,0.21642,-0.11909,-0.18281,0.33867,-0.03079,0.087856
v-09-10-7-9,36,-1.923076923,0.615384615,-0.307692308,2.78E-17,-0.153846154,"regular,discontinuous,simple,grainy,spiky","pleasant,calm,familiar,mechanical,boring,predictable",tapping,"halfway,reminder,milestone,one minute left,resume,warning,pause,get ready",-0.2731,-0.2217,0.14561,0.099395,-0.22432,-0.45363,-0.12604,-0.36073,-0.42923,-0.37629
v-09-10-8-5,2,0.727272727,1.454545455,0.454545455,-0.272727273,1,"discontinuous,irregular,bumpy,dynamic","lively,comfortable,happy,interesting","game,poking,alarm","battery low,incoming msg,speed up,reminder,resume,overtime",0.36687,-0.17574,-0.11776,-0.23073,-0.28901,0.38968,-0.089905,-0.10579,0.43845,-0.16163
v-09-10-8-7,37,0.307692308,1.692307692,0.615384615,1.153846154,1,"discontinuous,bumpy,regular,soft,short,simple","lively,happy,rhythmic,interesting,pleasant,comfortable,energetic,natural,familiar","game,pulsing,poking,tapping,buzz","milestone,encouragement,one minute left,running out of time,finish,overtime,warning,alarm,below intended threshold,above intended threshold,speed up,warmup,cooldown,interval/rep,get ready,reminder",-0.35917,-0.11527,-0.024819,-0.23203,-0.36173,0.29762,-0.24167,-0.239,-0.091095,0.13044
v-09-11-3-12,3,1.909090909,1.636363636,1.363636364,-0.181818182,2,"regular,discontinuous,spiky","urgent,mechanical,lively,rhythmic","alarm,phone,SOS","overtime,running out of time,alarm,speed up,warning,encouragement",-0.18323,-0.41676,-0.093329,0.089192,0.27757,0.15352,-0.36506,-0.0048294,0.46454,0.37803
v-09-11-3-16,38,1.5,0.928571429,0.5,-0.642857143,1.714285714,"dynamic,rough,continuous,irregular,bumpy","annoying,urgent,agitating,mechanical,angry,surprising,interesting,rhythmic","alarm,phone,musical instruments,drums","running out of time,finish,overtime,alarm,one minute left,warmup,cooldownwarm up/cool down,milestone",0.37893,0.21548,0.093527,-0.090628,0.3992,0.14043,-0.079912,-0.10047,0.44816,0.25258
v-09-11-3-19,39,2.272727273,0.818181818,0.454545455,2.78E-17,1.909090909,"irregular,discontinuous,complex,dynamic,smooth,ticklish,firm","urgent,lively,unique,rhythmic,agitating,surprising,uncomfortable","morse code,horn,game,phone,alarm","one minute left,running out of time,above intended threshold,speed up,warning,alarm,last one,almost done",0.32757,0.015537,-0.14297,-0.17341,0.27166,0.38936,-0.010079,-0.038277,0.46543,0.31368
v-09-11-3-21,40,2.222222222,1.444444444,0.888888889,1,1.777777778,"discontinuous,bumpy,spiky,simple,short,firm","rhythmic,energetic,comfortable,mechanical","hearbeat,phone","overtime,finish,alarm,running out of time,above intended threshold,below intended threshold,encouragement,get ready,reminder,confirmation,milestone",-0.18822,-0.18029,0.23944,-0.39212,-0.068223,0.053643,-0.3215,-0.073682,-0.0080061,0.1532
v-09-11-3-24,41,0.555555556,1.111111111,-0.222222222,1.555555556,1.333333333,"smooth,complex,dynamic,bumpy,irregular","unique,rhythmic,comfortable,happy,interesting,lively,pleasant",engine,"encouragement,milestone,congratulations",0.39435,0.17484,-0.30183,-0.27673,-0.28842,0.44177,-0.14755,0.50451,-0.24995,-0.13747
v-09-11-3-4,42,1.75,0.75,0.833333333,0.083333333,1.75,"continuous,dynamic,ramping down,irregular,complex","unique,urgent,mechanical,surprising,strange","alarm,engine","running out of time,one minute left,encouragement,warning,reminder",0.43778,0.40335,-0.032517,-0.10465,0.32242,0.079468,0.28224,0.32001,0.27959,0.014399
v-09-11-3-43,43,1.454545455,1.090909091,-0.181818182,0.636363636,1.363636364,"dynamic,complex,irregular","lively,rhythmic,unique,funny","dancing,tapping,musical instruments","get ready,encouragement",0.59611,0.21078,-0.074386,-0.12861,-0.045496,0.45641,-0.16298,-0.35658,-0.18732,-0.17791
v-09-11-3-50,44,-0.090909091,0.090909091,0.818181818,0.090909091,-0.090909091,"bumpy,discontinuous,regular","lively,rhythmic,mechanical","game,jumping","reminder,one minute left,running out of time,warning,below intended threshold,get ready,interval/rep",-0.13807,-0.37954,-0.21074,-0.015712,0.1467,0.13492,-0.4383,-0.0094664,0.16172,-0.084488
v-09-11-3-54,45,0.076923077,0.153846154,-0.769230769,1.615384615,0.230769231,"regular,bumpy,dynamic,discontinuous,smooth,soft","calm,comfortable,familiar,happy,lively,interesting,pleasant,rhythmic,natural","hearbeat,pulsing,tapping,clock,jumping","below intended threshold,one minute left,speed up,warmup,cooldown,start,get ready,resume,pause,confirmation,warning,reminder,encouragement,battery low,milestone,interval/rep,cooldownwarm up/cool down,running out of time,incoming msg,overtime,slow down,alarm",-0.045545,-0.070426,-0.39777,-0.091901,-0.43521,0.20461,-0.18418,-0.33825,-0.29275,-0.11354
v-09-11-3-56,46,1.222222222,1.222222222,0.111111111,0.333333333,1.444444444,"irregular,dynamic,discontinuous,complex,bumpy","unique,interesting,comfortable,lively,surprising,strange",,"halfway,encouragement,one minute left,warning,reminder",0.41268,-0.14148,-0.11749,-0.24266,-0.16021,0.42876,0.31265,0.20274,-0.29397,-0.13274
v-09-11-3-8,47,0.75,1,0.666666667,0.583333333,0.833333333,"irregular,dynamic,grainy,discontinuous","funny,unique,strange,comfortable,lively,natural",engine,"incoming msg,speed up,warning,encouragement,milestone,one minute left,below intended threshold,above intended threshold,running out of time",0.37621,-0.091807,0.045603,0.016786,-0.25663,0.30277,0.264,0.50451,-0.24995,0.13982
v-09-11-4-1,48,0.444444444,0.444444444,-0.333333333,1.222222222,1,"irregular,complex,bumpy,dynamic,discontinuous,long","agitating,urgent,lively,energetic,rhythmic,comfortable,pleasant,interesting,unique","tapping,musical instruments,drums,game","encouragement,milestone,warning,alarm,get ready",0.36203,-0.05165,-0.14591,-0.12509,-0.047773,0.41127,-0.11129,-0.37327,-0.0041782,-0.031098
v-09-11-4-12,49,0.25,1.833333333,1.666666667,0.416666667,0.666666667,"rough,grainy,continuous,bumpy,simple","predictable,mechanical,comfortable,pleasant,familiar","engine,bell,game,alarm","finish,overtime,alarm,reminder,milestone,resume",-0.1074,0.22168,0.37574,-0.02374,-0.23114,-0.27815,-0.16898,0.22238,0.34331,0.05849
v-09-11-4-22,50,1.777777778,0.111111111,0.333333333,-0.222222222,0.888888889,"simple,continuous,flat,regular,grainy,rough,long","boring,predictable,annoying,mechanical,happy,calm","buzz,celebration,horn,alarm","warmup,cooldown,interval/rep,get ready,incoming msg",-0.28069,0.24921,0.2503,0.31126,-0.0055278,-0.41522,-0.12161,0.11764,0.35027,-0.30743
v-09-11-4-3,51,1.923076923,0.846153846,0.153846154,1.307692308,1.461538462,"discontinuous,dynamic,bumpy,complex,springy","rhythmic,unique,lively,pleasant,happy,interesting,comfortable,energetic,attention-catching,funny,surprising","tapping,morse code,riding,jumping","above intended threshold,speed up,start,one minute left,finish,running out of time,milestone,interval/rep,warmup,cooldown,below intended threshold,encouragement,reminder,warning,get ready",0.31552,-0.13748,-0.15337,-0.21931,-0.21076,0.46466,-0.094768,-0.23834,-0.19342,0.024119
v-09-11-4-41,4,0.181818182,-1.272727273,-0.363636364,1.181818182,-0.636363636,"ramping down,discontinuous,long,bumpy","calm,comfortable,familiar,sad,strange","coming or going,going away,riding,hearbeat","battery low,slow down,below intended threshold,cooldown",-0.021995,-0.15862,-0.11595,-0.075536,-0.40369,-0.13375,0.32743,0.1003,-0.12792,-0.27712
v-09-11-4-54,52,2.181818182,2.363636364,1.727272727,-1.090909091,2.909090909,"bumpy,rough,discontinuous,dynamic,regular,loud","urgent,angry,mechanical,agitating,fear,annoying,salient,attention-getting","tapping,alarm,pulsing,beep,poking,phone","finish,alarm,running out of time,overtime,above intended threshold,below intended threshold,warning",0.10237,-0.21636,-0.080029,0.095312,0.45724,-0.09313,-0.02341,-0.34788,0.17407,0.3856
v-09-11-4-8,5,1.181818182,0.181818182,0.545454545,0.545454545,1.181818182,"regular,discontinuous,simple,firm","rhythmic,familiar,boring,predictable,calm,mechanical",tapping,"reminder,warning",-0.34294,-0.22224,0.063804,0.0053041,-0.14327,-0.38664,-0.25718,-0.36073,-0.42923,-0.20825
v-09-12-1-0,53,-2.636363636,0.272727273,-0.909090909,0.272727273,-2.090909091,"discontinuous,irregular,grainy","comfortable,calm,strange","poking,nature,animal","battery low,resume,pause,get ready",0.21708,-0.2156,0.15603,0.006609,-0.38577,-0.055342,0.40088,0.12406,-0.11717,-0.51475
v-09-12-1-19,54,-1.222222222,0.333333333,1,0.666666667,-1.222222222,"short,discontinuous,simple,rough","pleasant,calm,comfortable,interesting",,"confirmation,reminder,get ready,pause,resume,one minute left,milestone,slow down,interval/rep",-0.17312,-0.11528,0.43753,-0.12043,-0.48974,0.076243,0.066747,0.20274,-0.29397,-0.44545
v-09-12-1-23,55,-2.538461538,1.615384615,-0.461538462,0.769230769,-2.153846154,"short,simple,continuous,smooth,soft","comfortable,pleasant,calm","beep,game,poking","milestone,get ready,resume,pause,confirmation,battery low,incoming msg,warning,reminder,one minute left,halfway",-0.39595,0.48205,0.029274,-0.35067,-0.50689,-0.050803,0.038182,-0.16403,0.18051,-0.44388
v-09-12-1-29,56,-1.416666667,1.25,-0.916666667,1.333333333,-1.5,"regular,short,discontinuous,soft","pleasant,natural,comfortable,lively,familiar,happy,calm","beep,game,heartbeat,pawing,animal,musical instruments,drums,tapping","confirmation,milestone,get ready,incoming msg,battery low,reminder,resume,pause,one minute left,interval/rep,warmup,cooldown,warning",-0.30611,-0.19449,-0.080137,-0.066604,-0.48795,0.084006,-0.1035,-0.22787,-0.0097893,-0.43032
v-09-12-1-39,57,-1.272727273,-1.272727273,-1.272727273,1.181818182,-1.181818182,"smooth,regular,ramping down,soft","calm,pleasant,comfortable,natural","musical instruments,drums,echo,bell","battery low,interval/rep,warning,below intended threshold,get ready,resume,confirmation",-0.37173,0.14371,-0.41674,0.062049,-0.53344,-0.064191,0.061895,-0.038975,0.10139,-0.3613
v-09-12-1-48,58,1.461538462,1.769230769,1.153846154,0.846153846,1.923076923,"discontinuous,bumpy,rough,regular","happy,comfortable,rhythmic,agitating","tapping,pulsing,beep","speed up,encouragement,milestone,running out of time,get ready,resume,warmup,cooldownwarm up/cool down,incoming msg",-0.07528,-0.35687,-0.0084065,0.11364,-0.12654,0.24933,-0.15439,-0.41738,-0.20399,-0.089975
v-09-12-1-53,59,1.222222222,2.222222222,1,1.777777778,1.555555556,"regular,discontinuous,spiky","lively,agitating,urgent,happy,interesting","hearbeat,musical instruments,drums","running out of time,reminder,encouragement,above intended threshold,below intended threshold,milestone,warning,get ready,battery low",-0.18323,-0.41676,-0.093329,0.089192,0.19489,0.39212,-0.057406,-0.1635,-0.046036,-0.10461
v-09-12-2-17,60,-1.222222222,2.111111111,0.111111111,1.222222222,-0.666666667,"discontinuous,grainy,regular,spiky,bumpy,simple","happy,lively,energetic,comfortable,pleasant,mechanical,rhythmic","gun,engine,animal","milestone,speed up,below intended threshold,get ready",-0.22273,-0.22917,0.070534,-0.013889,-0.1549,0.21027,-0.37325,0.46779,-0.18179,-0.074812
v-09-12-2-20,61,0.846153846,2.230769231,0.076923077,0.615384615,1.846153846,"regular,discontinuous,spiky,bumpy","urgent,energetic,attention-catching,mechanical,agitating,rhythmic","tapping,game","speed up,overtime,running out of time,one minute left,milestone,encouragement,reminder,warning,alarm,finish,get ready",-0.13197,-0.39715,-0.14188,-0.049981,0.34441,0.090761,-0.24379,-0.38073,-0.10866,0.1637
v-09-12-2-23,62,-1.071428571,0.5,-1,0.571428571,0.285714286,"continuous,dynamic,smooth,wavy,soft","boring,predictable,pulsing,comfortable,pleasant","alarm,beep,sliding,pawing,animal","warning,overtime,running out of time,reminder,encouragement,above intended threshold,remain constant (no faster/slower,no higher/lower threshold); countdown,incoming msg",0.042784,0.51154,-0.33348,-0.12837,-0.37297,-0.25531,-0.02077,0.053025,0.24978,0.11142
v-09-12-2-40,63,-0.545454545,-1.181818182,0.818181818,-0.545454545,-1.545454545,"irregular,discontinuous,dynamic,spiky,complex,bumpy","unique,natural,strange",walking,,0.3751,-0.18294,-0.077176,-0.25895,-0.10453,0.14153,0.5047,0.12683,-0.14732,-0.12039
v-09-12-8-10,64,3,0.545454545,0.636363636,-1.181818182,2.636363636,"dynamic,ramping up,continuous,rough,smooth transition,long","urgent,annoying,mechanical,angry","engine,snoring,horn,animal","overtime,alarm,speed up,start,interval/rep",0.21752,0.4642,0.081066,0.32809,0.47928,-0.16207,-0.092648,0.45705,-0.14372,0.2904
v-09-12-8-13,65,-0.384615385,-0.538461538,-1.846153846,0.461538462,-0.692307692,"continuous,ramping up,simple,smooth transition,long","mechanical,boring,predictable,familiar","engine,buzz,animal,snoring","finish,overtime,get ready,resume,incoming msg,below intended threshold,halfway",-0.2069,0.53883,0.13314,0.12265,-0.020885,-0.50523,-0.15257,0.49872,-0.17948,-0.062906
v-09-12-8-21,66,-1.384615385,0.384615385,-0.923076923,1.076923077,-1.615384615,"short,simple,continuous,firm,flat,smooth","calm,comfortable,familiar,boring,predictable,sad,natural","tapping,beep,clock,poking","confirmation,resume,pause,battery low,milestone,warning",-0.33446,0.44088,0.19385,-0.28536,-0.44792,-0.35918,0.049093,-0.40007,-0.16354,-0.45688
v-09-12-8-27,67,-2.444444444,-0.111111111,-1.666666667,1.222222222,-2.555555556,"smooth,simple,continuous,flat,soft","calm,comfortable,boring,predictable,natural","beep,bell,nature","resume,confirmation",-0.40033,0.526,-0.080381,-0.24674,-0.44292,-0.34653,0.041525,-0.008795,0.083346,-0.30986
v-09-12-8-30,68,-2.909090909,0.090909091,0.818181818,0.818181818,-2.181818182,"short,grainy,simple,flat","creepy,calm,strange,boring","animal,snoring,nature","pause,incoming msg,interval/rep,no/not allowed (opposite of confirmation)",-0.29585,0.26601,0.49898,-0.10597,-0.22149,-0.25925,0.42792,0.28368,-0.13988,-0.30897
v-09-12-8-32,69,1.777777778,0.777777778,0.666666667,0.666666667,0.888888889,"continuous,irregular,short,dynamic","surprising,comfortable,mechanical,unique",animal,"finish,milestone,reminder,confirmation",0.33038,0.40814,0.16679,-0.23698,-0.0094406,0.093374,0.082619,0.28946,-0.23718,-0.1982
v-09-16-1-43,70,-2,1.888888889,-1.444444444,1.444444444,-2.222222222,"simple,soft","comfortable,familiar",beep,"confirmation,battery low,resume,pause,interval/rep",-0.44007,0.3171,0.064306,-0.26704,-0.4118,-0.048374,0.019038,-0.041574,-0.021711,-0.49429
v-09-16-1-56,71,1.923076923,1.461538462,0.384615385,-0.538461538,1.615384615,"ramping up,dynamic,irregular,discontinuous","angry,surprising,annoying,agitating,strange,mechanical,uncomfortable,lively,fear","alarm,coming or going,game,bell,horn,jumping","warning,alarm,overtime,running out of time,speed up,start,above intended threshold,below intended threshold,resume",0.38711,-0.0054015,-0.074519,0.033838,0.3767,0.069903,0.1566,0.074941,0.38847,0.28853
v-09-18-1-55,72,-2.166666667,-1.5,-0.166666667,0.5,-2,"regular,spiky,discontinuous,simple","calm,rhythmic,familiar,natural,predictable","hearbeat,tapping","halfway,pause,battery low,get ready,warmup,cooldown",-0.33658,-0.25902,0.060452,-0.0087462,-0.32758,-0.25752,-0.17442,-0.40666,-0.36743,-0.44151
v-09-18-2-7,73,2.363636364,1.636363636,1.727272727,-0.090909091,2.181818182,"irregular,rough,complex,dynamic,discontinuous,grainy","unique,surprising,urgent,agitating,interesting,mechanical,strange",beep,"running out of time,encouragement,alarm,warning,one minute left",0.42819,-0.061095,0.15359,0.077771,0.32436,0.18923,0.26543,-0.041574,-0.021711,0.24674
v-09-18-4-12,74,-0.090909091,1.090909091,1.454545455,-0.909090909,0.818181818,"grainy,complex,irregular,discontinuous,rough","funny,mechanical,strange,urgent,creepy,happy,interesting","jumping,animal,game,musical instruments,drums,alarm","reminder,one minute left,warning",0.32074,-0.14511,0.25101,0.073813,0.19805,0.12484,0.14505,-0.020358,0.3295,-0.16079
v-09-18-4-15,75,0.111111111,1.888888889,0.666666667,-0.555555556,0.888888889,"rough,dynamic,discontinuous,complex,short,irregular,spiky","unique,strange,calm,rhythmic,lively,annoying,mechanical","beep,tapping,poking","milestone,resume,battery low,reminder,confirmation,interval/rep,get ready,one minute left,finish,alarm",0.33399,-0.10393,0.21146,-0.15845,0.06766,0.08562,0.012431,-0.42546,-0.15138,-0.21289
v-09-18-4-16,6,-0.545454545,1.818181818,-0.181818182,0.727272727,0.454545455,"short,spiky,discontinuous,simple","funny,familiar,interesting","beep,bell,game,hearbeat,phone,frogs,animal","confirmation,pause,interval/rep,incoming msg,resume,cooldownwarm up/cool down,start,get ready",-0.24527,-0.1631,0.32225,-0.30302,-0.18312,0.11019,0.047845,-0.031928,0.11749,-0.40341
